Date,Open,High,Low,Close,Adj Close,Volume
12/1/2007,null,null,null,null,null,null
1/1/2008,42.950001,54,42.93,51.439999,44.833244,329188800
2/1/2008,52,53.52,47.18,51.950001,45.277744,195997700
3/1/2008,52.779999,54.740002,41.540001,43.450001,37.869438,205564100
4/1/2008,42.150002,46.259998,37.279999,38.619999,33.659809,192899800
5/1/2008,37.599998,43.869999,37,40.290001,35.115311,199158800
6/1/2008,40.139999,45.98,37.799999,45.5,39.851551,168988100
7/1/2008,46.419998,52.48,39.060001,42.349998,37.092602,225878300
8/1/2008,42.27,43.66,31.719999,34.73,30.418566,235621900
9/1/2008,32.950001,39.59,26.02,36.740002,32.179031,436652800
10/1/2008,36.709999,39.23,17.27,22.74,19.917021,472261300
11/1/2008,23.370001,29.700001,19.110001,29.459999,25.80279,276291400
12/1/2008,27.620001,37.84,22.66,36.77,32.436092,301842800
1/1/2009,35.970001,40.900002,30.790001,37.490002,33.071239,338801400
2/1/2009,36.330002,39.630001,29.379999,30.200001,26.640471,304486200
3/1/2009,30.68,34.240002,25.540001,32.419998,28.59881,344046300
4/1/2009,33.07,34.040001,27.09,29.1,25.67012,230369900
5/1/2009,29,38.959999,28.77,38.080002,33.591694,203124300
6/1/2009,38.549999,38.630001,31.620001,33.549999,29.75646,201174200
7/1/2009,34.220001,36.029999,30.67,34.900002,30.953812,145352700
8/1/2009,35.68,36.709999,32.169998,34.700001,30.776436,138632300
9/1/2009,34.91,42.099998,34.419998,37.900002,33.614613,389168900
10/1/2009,38.099998,40.509998,34.5,35.93,31.867365,315497600
11/1/2009,36.860001,45.82,35.5,42.689999,37.86301,276703100
12/1/2009,44.119999,48.02,38.130001,39.380001,35.089634,338511900
1/1/2010,40.700001,42.639999,34.630001,34.82,31.026443,245181900
2/1/2010,35.189999,40,33.650002,37.66,33.557018,243781100
3/1/2010,38.099998,40.799999,36.689999,38.34,34.162941,231723800
4/1/2010,38.950001,44.369999,38.139999,43.549999,38.805325,207884200
5/1/2010,43.950001,47.209999,39.950001,42.080002,37.495472,272184700
6/1/2010,42.509998,47.25,41.130001,45.41,40.654675,220060800
7/1/2010,45.080002,45.34,39.669998,41.099998,36.796005,195790100
8/1/2010,41.77,47.5,40.66,46.759998,41.863304,150699600
9/1/2010,47.32,47.560001,43.830002,46.290001,41.55061,186087300
10/1/2010,46.849998,49.66,44.860001,48.09,43.166309,193642700
11/1/2010,48.459999,53.439999,47.630001,51.650002,46.361835,201769300
12/1/2010,52.09,55.720001,50.650002,53.18,47.847805,141232400
1/1/2011,53.919998,53.93,45.599998,47.509998,42.746307,226710000
2/1/2011,48.240002,53.009998,47.099998,52.82,47.523903,170748700
